,well id,well name,analysis date,formation,sample depth,kmax,kmax-h,k90,kvert,porosity,grain density,bulk density,lithology description
388,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3913.16,2080.0,187.2,2080.0,0.01,0.047,2840.0,2710.0,"dol,intgran,ppv,sv,frac"
394,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4394.39,1209.0,326.43,274.0,9.59,0.038,2770.0,2670.0,"sv,few,lv"
395,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3938.87,1220.0,292.8,219.0,4.99,0.035,2760.0,2660.0,"dol,intgran,ppv,sv,anhy,carb,vfr"
399,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3913.65,2180.0,1417.0,160.0,1.74,0.011,2830.0,2800.0,"dol,intgran,ppv,frac"
400,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4247.69,169.0,50.7,154.0,1.54,0.007,2830.0,2810.0,"dns,frac"
404,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4396.37,193.0,65.62,137.0,0.84,0.005,2810.0,2800.0,"few,ppv,frac"
406,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3948.41,114.0,34.2,110.0,9.67,0.034,2830.0,2730.0,"dol,intgran,ppv,sv,anhy,carb,vfr"
413,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4245.28,215.0,51.6,96.4,84.0,0.018,2830.0,2780.0,"few,sv,vfrac"
420,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1619.16,207.0,24.84,94.38,0.04,0.054,2810.0,2690.0,"lv,sv,sty"
421,300F086040124300,CPOG ET AL LABICHE F-08,2/25/1971,Dnahanni,1991.62,98.3,65.86,90.8,3.98,0.04,2700.0,2590.0,i sty f cal
422,300F086040124301,CPOG ET AL LABICHE F-08,2/25/1971,Dnahanni,1991.62,98.3,65.86,90.8,3.98,0.04,2700.0,2590.0,i sty f cal
423,300F086040124302,CPOG ET AL LABICHE F-08,2/25/1971,Dnahanni,1991.62,98.3,65.86,90.8,3.98,0.04,2700.0,2590.0,i sty f cal
427,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3776.36,408.0,73.44,84.5,104.0,0.05,2880.0,2740.0,"dol,intgran,ppv,sv,scat,lv,vfrac"
428,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1633.55,132.0,35.64,83.46,52.92,0.055,2830.0,2680.0,"lv,sv"
441,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4397.56,79.4,23.82,63.2,0.01,0.029,2800.0,2720.0,"few,sv"
442,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3902.81,77.2,16.21,63.2,21.0,0.044,2720.0,2600.0,"dol,intgran,ppv,sv,anhy,carb"
445,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3078.6,73.7,25.06,60.7,4.97,0.056,2840.0,2680.0,"lv,sv,ppv,hfrac,sty"
446,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3078.6,73.7,25.06,60.7,4.97,0.056,2840.0,2680.0,"lv,sv,ppv,hfrac,sty"
447,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3078.6,73.7,25.06,60.7,4.97,0.056,2840.0,2680.0,"lv,sv,ppv,hfrac,sty"
448,300F386030123450,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4471.35,75.8,22.74,55.6,19.2,0.02,2830.0,2780.0,"sv,ppv,hfrac,vfrac,sty"
449,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4471.35,75.8,22.74,55.6,19.2,0.02,2830.0,2780.0,"sv,ppv,hfrac,vfrac,sty"
457,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1631.26,119.0,21.42,52.71,0.35,0.08,2840.0,2610.0,"lv,sv"
458,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3766.82,266.0,47.88,52.4,0.38,0.021,2840.0,2780.0,"dol,intgran,ppv,sv,frac"
459,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4248.36,71.2,28.48,51.9,1.5,0.011,2820.0,2790.0,"few,sv,frac"
460,300F086040124300,CPOG ET AL LABICHE F-08,2/25/1971,Dnahanni,1992.29,54.8,30.14,51.8,0.68,0.01,2700.0,2670.0,dense f cal
461,300F086040124301,CPOG ET AL LABICHE F-08,2/25/1971,Dnahanni,1992.29,54.8,30.14,51.8,0.68,0.01,2700.0,2670.0,dense f cal
462,300F086040124302,CPOG ET AL LABICHE F-08,2/25/1971,Dnahanni,1992.29,54.8,30.14,51.8,0.68,0.01,2700.0,2670.0,dense f cal
463,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4325.54,69.7,20.91,51.6,12.7,0.061,2820.0,2650.0,"intgran,frac"
464,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1633.94,118.0,47.2,51.0,14.94,0.041,2830.0,2720.0,"lv,sv,hfrac,vfrac"
465,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1618.67,93.7,25.3,50.65,0.02,0.021,2830.0,2770.0,"lv,sv,sty"
466,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3946.37,90.1,36.04,50.4,2.17,0.033,2760.0,2660.0,"dol,intgran,ppv,sv,anhy,carb"
467,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1604.47,141.2,33.89,47.52,0.09,0.033,2840.0,2750.0,"lv,sv,sty,hfrac"
469,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3910.79,65.6,15.74,44.4,7.27,0.07,2850.0,2650.0,"dol,intgran,ppv,sv,lv,frac"
473,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3097.13,48.53,10.19,43.47,2.19,0.028,2820.0,2750.0,"sv,ppv,hfrac"
474,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3097.13,48.53,10.19,43.47,2.19,0.028,2820.0,2750.0,"sv,ppv,hfrac"
475,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3097.13,48.53,10.19,43.47,2.19,0.028,2820.0,2750.0,"sv,ppv,hfrac"
476,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3080.92,56.72,17.02,43.29,0.11,0.024,2850.0,2780.0,"sv,ppv,hfrac,sty"
477,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3080.92,56.72,17.02,43.29,0.11,0.024,2850.0,2780.0,"sv,ppv,hfrac,sty"
478,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3080.92,56.72,17.02,43.29,0.11,0.024,2850.0,2780.0,"sv,ppv,hfrac,sty"
479,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1632.42,57.9,17.37,43.04,0.18,0.048,2820.0,2680.0,"lv,sv"
480,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3275.5,62.89,21.38,42.37,8.08,0.009,2830.0,2800.0,"few,ppv,hfrac,vfrac"
481,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3275.5,62.89,21.38,42.37,8.08,0.009,2830.0,2800.0,"few,ppv,hfrac,vfrac"
482,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3275.5,62.89,21.38,42.37,8.08,0.009,2830.0,2800.0,"few,ppv,hfrac,vfrac"
484,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3897.08,73.7,15.48,41.9,1.25,0.033,2840.0,2750.0,lv sv ppv a
486,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3801.77,56.1,13.46,40.6,0.46,0.023,2860.0,2790.0,ppv f
487,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4324.29,65.3,17.63,40.5,7.64,0.086,2840.0,2590.0,"intgran,frac"
488,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3077.75,52.6,12.62,39.8,1.71,0.028,2820.0,2740.0,"lv,ppv,hfrac,sty"
489,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3077.75,52.6,12.62,39.8,1.71,0.028,2820.0,2740.0,"lv,ppv,hfrac,sty"
490,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3077.75,52.6,12.62,39.8,1.71,0.028,2820.0,2740.0,"lv,ppv,hfrac,sty"
492,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1632.72,11862.0,2135.16,39.33,12.18,0.057,2820.0,2660.0,"lv,sv,hfrac"
493,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,4017.93,38.1,4.57,38.1,2.14,0.05,2840.0,2690.0,"dol,intgran,ppv,sv,anhy"
497,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1615.62,47.97,14.39,37.76,0.1,0.073,2850.0,2640.0,"lv,sv"
498,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3760.84,1040.0,291.2,37.2,0.07,0.019,2840.0,2780.0,"dol,intgran,sv,lv,sty,frac"
499,300E136110123450,PAN AMERICAN A-1 MATTSON CREEK NO.1(E-13),9/26/1961,Dnahanni,644.74,56.0,6.72,37.0,14.0,0.14,,,"rc,vug"
502,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3757.01,84.3,23.6,36.6,2.19,0.051,2840.0,2700.0,"dol,intgran,ppv,sv,lv,frac"
504,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3938.32,48.7,16.56,34.9,5.47,0.052,2810.0,2510.0,"dol,intgran,ppv,sv,anhy,carb,vfr"
505,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3158.28,76.2,18.29,34.7,0.48,0.027,2820.0,2740.0,"sv,few,ppv,frac"
506,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3158.28,76.2,18.29,34.7,0.48,0.027,2820.0,2740.0,"sv,few,ppv,frac"
507,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3158.28,76.2,18.29,34.7,0.48,0.027,2820.0,2740.0,"sv,few,ppv,frac"
508,300F386030123450,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4467.64,36.7,5.5,34.0,0.85,0.022,2840.0,2780.0,"sv,hfrac,sty"
509,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4467.64,36.7,5.5,34.0,0.85,0.022,2840.0,2780.0,"sv,hfrac,sty"
510,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4248.76,67.9,31.23,33.9,2.91,0.007,2800.0,2780.0,"dns,frac"
511,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4393.54,34.2,10.26,33.0,0.09,0.022,2830.0,2770.0,sv
512,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4327.55,38.3,11.49,32.8,10.0,0.036,2820.0,2720.0,"intgran,few,ppv,frac"
513,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1631.59,71.82,15.08,32.66,0.37,0.048,2840.0,2700.0,"lv,sv"
514,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1621.08,418.0,142.12,31.86,0.45,0.038,2840.0,2740.0,"lv,sv,hfrac"
515,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3946.76,105.0,25.2,31.5,2.44,0.027,2800.0,2720.0,"dol,intgran,ppv,sv,anhy,carb"
516,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3077.41,53.46,18.18,31.4,0.45,0.035,2800.0,2700.0,"lv,sv,ppv,hfrac,vfrac,sty"
517,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3077.41,53.46,18.18,31.4,0.45,0.035,2800.0,2700.0,"lv,sv,ppv,hfrac,vfrac,sty"
518,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3077.41,53.46,18.18,31.4,0.45,0.035,2800.0,2700.0,"lv,sv,ppv,hfrac,vfrac,sty"
519,300F386030123450,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4468.49,20.6,4.33,31.2,0.53,0.007,2840.0,2820.0,"intgran,hfrac,vfrac"
520,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4468.49,20.6,4.33,31.2,0.53,0.007,2840.0,2820.0,"intgran,hfrac,vfrac"
521,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3099.39,39.6,15.84,30.9,2.45,0.017,2840.0,2790.0,"ppv,hfrac,sty"
522,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3099.79,39.6,22.97,30.9,2.45,0.017,,,brkn
523,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3099.39,39.6,15.84,30.9,2.45,0.017,2840.0,2790.0,"ppv,hfrac,sty"
524,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3099.79,39.6,22.97,30.9,2.45,0.017,,,brkn
525,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3099.39,39.6,15.84,30.9,2.45,0.017,2840.0,2790.0,"ppv,hfrac,sty"
526,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3099.79,39.6,22.97,30.9,2.45,0.017,,,brkn
527,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3806.59,40.3,12.09,30.7,3.33,0.031,2850.0,2760.0,sv f
528,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3093.78,54.14,20.03,30.53,3.66,0.01,2820.0,2800.0,"sv,ppv,hfrac,sty"
529,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3093.78,54.14,20.03,30.53,3.66,0.01,2820.0,2800.0,"sv,ppv,hfrac,sty"
530,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3093.78,54.14,20.03,30.53,3.66,0.01,2820.0,2800.0,"sv,ppv,hfrac,sty"
531,300P536030123450,APACHE POINTED MOUNTAIN P-53,3/23/1967,Dnahanni,3980.9,35.0,6.3,30.0,10.0,0.057,2820.0,2660.0,"sl,vert,intgran"
532,300P536030123451,APACHE POINTED MOUNTAIN P-53,3/23/1967,Dnahanni,3980.9,35.0,6.3,30.0,10.0,0.057,2820.0,2660.0,"sl,vert,intgran"
533,300P536030123452,APACHE POINTED MOUNTAIN P-53,3/23/1967,Dnahanni,3980.9,35.0,6.3,30.0,10.0,0.057,2820.0,2660.0,"sl,vert,intgran"
534,300P536030123453,PAN AM POINTED MOUNTAIN P-53A,3/23/1967,Dnahanni,3980.9,35.0,6.3,30.0,10.0,0.057,2820.0,2660.0,slightly v. i.
535,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4190.66,64.0,35.2,29.8,2.18,0.02,2830.0,2780.0,"sv,frac"
536,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,4013.88,85.7,23.14,29.6,3.85,0.049,2850.0,2710.0,"dol,intgran,ppv,sv,anhy"
537,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3313.24,68.4,20.52,29.0,64.6,0.008,2830.0,2810.0,"ppv,frac"
538,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3313.24,68.4,20.52,29.0,64.6,0.008,2830.0,2810.0,"ppv,frac"
539,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3313.24,68.4,20.52,29.0,64.6,0.008,2830.0,2810.0,"ppv,frac"
540,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4394.67,28.9,8.67,28.6,0.12,0.016,2800.0,2750.0,"few,sv,frac"
541,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3922.99,225.0,40.5,28.4,6.09,0.031,2840.0,2750.0,"dol,intgran,ppv,sv,anhy,vfrac"
542,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4249.98,70.7,19.09,28.1,0.5,0.007,2820.0,2800.0,"sv,frac"
543,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1604.16,32.1,9.63,28.0,,0.037,2830.0,2720.0,"lv,sv,sty,hfrac,calc"
544,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1604.71,32.1,9.63,28.0,,0.037,,,"lv,sv,sty,hfrac,calc,brkn"
545,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1616.35,617.0,74.04,27.99,,0.032,2800.0,2710.0,"lv,sv,sty,hfrac"
546,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1625.59,34.17,9.23,27.4,2.47,0.038,2830.0,2720.0,"lv,sv,hfrac,vfrac "
547,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3080.37,2480.0,669.6,27.2,3.51,0.03,2820.0,2730.0,"lv,sv,ppv,hfrac"
548,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3080.37,2480.0,669.6,27.2,3.51,0.03,2820.0,2730.0,"lv,sv,ppv,hfrac"
549,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3080.37,2480.0,669.6,27.2,3.51,0.03,2820.0,2730.0,"lv,sv,ppv,hfrac"
550,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1616.08,53.41,14.42,26.75,0.43,0.079,2850.0,2620.0,"lv,sv,sty"
551,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3276.2,31.31,14.4,26.61,7.84,0.032,2850.0,2750.0,"sv,ppv,vfrac,hfrac"
552,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3276.2,31.31,14.4,26.61,7.84,0.032,2850.0,2750.0,"sv,ppv,vfrac,hfrac"
553,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3276.2,31.31,14.4,26.61,7.84,0.032,2850.0,2750.0,"sv,ppv,vfrac,hfrac"
557,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3807.41,60.4,16.31,26.5,4.52,0.033,2850.0,2760.0,sv f
558,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,4014.15,60.5,10.89,26.4,3.23,0.054,2860.0,2700.0,"dol,intgran,ppv,sv,anhy"
560,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1628.61,71.32,19.26,26.12,0.21,0.02,2830.0,2770.0,"lv,sv,sty,hfrac "
561,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4256.23,312.0,115.44,25.8,60.3,0.037,2810.0,2710.0,"sv,vfrac"
562,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,4017.66,2100.0,567.0,25.5,1.2,0.088,2860.0,2610.0,"dol,intgran,ppv,sv,anhy"
563,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,4039.19,37.1,10.76,25.5,13.0,0.012,2860.0,2830.0,"dol,intgran,sv,frac"
564,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,4015.98,37.0,5.55,25.0,21.6,0.096,2870.0,2590.0,"dol,intgran,ppv,sv,anhy"
565,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1603.92,34.44,8.27,24.48,,0.022,2830.0,2770.0,"lv,sv,sty,hfrac"
566,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3744.44,26.7,11.48,24.4,0.05,0.009,2860.0,2830.0,dense f
567,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3088.05,55.62,16.69,24.3,10.11,0.031,2840.0,2760.0,"sv,ppv,hfrac,vfrac,sty"
568,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3088.05,55.62,16.69,24.3,10.11,0.031,2840.0,2760.0,"sv,ppv,hfrac,vfrac,sty"
569,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3088.05,55.62,16.69,24.3,10.11,0.031,2840.0,2760.0,"sv,ppv,hfrac,vfrac,sty"
570,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3142.64,519.0,192.03,24.2,88.4,0.033,2830.0,2730.0,"sv,ppv,vfrac"
571,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3142.64,519.0,192.03,24.2,88.4,0.033,2830.0,2730.0,"sv,ppv,vfrac"
572,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3142.64,519.0,192.03,24.2,88.4,0.033,2830.0,2730.0,"sv,ppv,vfrac"
573,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3939.42,29.4,6.17,24.2,2.08,0.041,2750.0,2640.0,"dol,intgran,ppv,sv,anhy,carb"
574,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1633.36,31.07,5.59,24.13,18.17,0.022,2840.0,2780.0,"sv,sty,hfrac"
575,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4397.35,50.2,10.54,24.1,0.09,0.042,2790.0,2670.0,"few,sv,lv"
576,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3924.64,23.9,7.17,23.6,2.19,0.036,2820.0,2710.0,"dol,intgran,ppv,sv,anhy"
577,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,4015.56,42.3,10.15,23.3,3.48,0.08,2870.0,2640.0,"dol,intgran,ppv,sv,anhy"
578,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3753.34,23.4,4.68,22.9,2.88,0.045,2840.0,2710.0,"dol,intgran,ppv,sv,lv,frac"
579,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3806.89,22.6,5.42,22.6,3.29,0.033,2860.0,2760.0,sv f
580,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3075.1,47.1,14.13,22.47,12.22,0.061,2840.0,2670.0,"sv,ppv,vfrac,hfrac"
581,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3075.1,47.1,14.13,22.47,12.22,0.061,2840.0,2670.0,"sv,ppv,vfrac,hfrac"
582,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3075.1,47.1,14.13,22.47,12.22,0.061,2840.0,2670.0,"sv,ppv,vfrac,hfrac"
583,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,4041.87,25.4,9.14,22.0,5.7,0.03,2820.0,2730.0,"dol,intgran,scat,sv,frac"
584,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3795.61,105.0,31.5,21.9,0.7,0.029,2860.0,2770.0,sv f
585,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3752.27,38.9,5.45,21.8,0.93,0.03,2850.0,2770.0,"dol,intgran,ppv,sv,frac"
586,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3753.54,31.2,4.37,21.8,0.3,0.041,2860.0,2750.0,"dol,intgran,ppv,sv,frac"
587,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3947.25,38.4,5.76,21.7,2.12,0.039,2820.0,2710.0,"dol,intgran,ppv,sv,anhy,carb"
591,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4326.73,40.6,13.8,21.4,0.47,0.051,2820.0,2670.0,"intgran,frac"
592,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3945.3,39.5,11.85,21.4,1.14,0.028,2750.0,2670.0,"dol,intgran,ppv,sv,anhy,carb"
593,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,4010.1,29.2,7.01,21.4,0.82,0.027,2880.0,2800.0,"dol,intgran,ppv,sv,anhy"
595,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3901.81,30.7,14.12,21.2,6.83,0.02,2790.0,2740.0,"dol,intgran,ppv,sv,anhy,carb"
596,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3142.34,34.2,10.26,21.1,10.6,0.031,2830.0,2740.0,"sv,ppv,frac"
597,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3142.34,34.2,10.26,21.1,10.6,0.031,2830.0,2740.0,"sv,ppv,frac"
598,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3142.34,34.2,10.26,21.1,10.6,0.031,2830.0,2740.0,"sv,ppv,frac"
