,well id,well name,analysis date,formation,sample depth,kmax,kmax-h,k90,kvert,porosity,grain density,bulk density,lithology description
2602,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3239.72,2860.0,1058.2,0.85,0.35,0.047,2840.0,2710.0,"lv,sv"
2603,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3239.72,2860.0,1058.2,0.85,0.35,0.047,2840.0,2710.0,"lv,sv"
2604,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3239.72,2860.0,1058.2,0.85,0.35,0.047,2840.0,2710.0,"lv,sv"
2605,300F386030123450,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4387.14,1.27,0.19,0.85,1.04,0.02,2840.0,2780.0,"sv,ppv,hfrac"
2606,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4387.14,1.27,0.19,0.85,1.04,0.02,2840.0,2780.0,"sv,ppv,hfrac"
2607,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3894.31,1.1,0.23,0.85,0.31,0.024,2870.0,2800.0,sv ppv i a
2608,300F386030123450,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4382.6,0.98,0.15,0.85,0.77,0.004,2840.0,2830.0,"intgran,sty"
2609,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4382.6,0.98,0.15,0.85,0.77,0.004,2840.0,2830.0,"intgran,sty"
2610,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3910.04,0.87,0.26,0.85,0.69,0.022,2810.0,2750.0,"dol,intgran,ppv,sv,anhy,carb"
2611,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3662.2,2.98,0.83,0.84,1.08,0.027,2720.0,2640.0,"dol,intgran,ppv,sv,sdy,vfrac"
2612,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3728.27,2.43,0.44,0.84,0.75,0.028,2860.0,2780.0,"dol,intgran,sv,frac"
2613,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4167.47,1.6,0.59,0.84,0.78,0.019,2850.0,2790.0,"few,sv,frac"
2614,300F386030123450,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4333.92,1.13,0.24,0.84,0.34,0.024,2840.0,2770.0,"sv,ppv,sty"
2615,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4333.92,1.13,0.24,0.84,0.34,0.024,2840.0,2770.0,"sv,ppv,sty"
2616,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3760.64,1.08,0.22,0.84,0.28,0.012,2850.0,2820.0,"dol,intgran,frac"
2617,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,4011.96,1.07,0.32,0.84,0.48,0.026,2860.0,2780.0,"dol,intgran,ppv,sv,anhy"
2618,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3737.3,1.04,0.18,0.84,0.09,0.037,2850.0,2740.0,"dol,intgran,ppv,sv,scat,lv,frac"
2619,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1626.17,16.62,7.65,0.83,0.04,0.015,2840.0,2800.0,"intgran,sty,hfrac"
2620,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3890.59,2.41,1.04,0.83,,0.012,2860.0,2830.0,few sv ppv i a
2621,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4169.05,1.78,0.82,0.83,0.14,0.015,2830.0,2790.0,"sv,frac"
2622,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3159.1,1.49,0.45,0.83,0.11,0.032,2830.0,2740.0,"few,lv,sv"
2623,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3159.1,1.49,0.45,0.83,0.11,0.032,2830.0,2740.0,"few,lv,sv"
2624,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3159.1,1.49,0.45,0.83,0.11,0.032,2830.0,2740.0,"few,lv,sv"
2625,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3152.64,0.84,0.18,0.83,,0.018,2830.0,2780.0,"few,sv,ppv"
2626,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3152.64,0.84,0.18,0.83,,0.018,2830.0,2780.0,"few,sv,ppv"
2627,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3152.64,0.84,0.18,0.83,,0.018,2830.0,2780.0,"few,sv,ppv"
2628,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3149.96,0.83,0.22,0.83,0.1,0.041,2840.0,2730.0,"few,lv,sv,ppv"
2629,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3149.96,0.83,0.22,0.83,0.1,0.041,2840.0,2730.0,"few,lv,sv,ppv"
